zipcode,room_type,count
10023,Entire home/apt,1
210,Private room,1
90001,Entire home/apt,3
90001,Private room,1
90001,Shared room,1
90002,Entire home/apt,1
90002,Private room,4
90003,Entire home/apt,2
90003,Private room,5
90003,Shared room,1
90004,Entire home/apt,231
90004,Private room,130
90004,Shared room,26
90005,Entire home/apt,119
90005,Private room,97
90005,Shared room,37
90005-3747,Entire home/apt,1
90006,Entire home/apt,71
90006,Private room,157
90006,Shared room,116
90007,Entire home/apt,29
90007,Private room,112
90007,Shared room,48
90008,Entire home/apt,36
90008,Private room,42
90008,Shared room,2
90010,Entire home/apt,37
90010,Private room,19
90010,Shared room,1
90011,Entire home/apt,3
90011,Private room,13
90011,Shared room,1
90012,Entire home/apt,185
90012,Private room,126
90012,Shared room,23
90013,Entire home/apt,131
90013,Private room,27
90013,Shared room,8
90014,Entire home/apt,135
90014,Private room,42
90014,Shared room,12
90015,Entire home/apt,141
90015,Private room,30
90015,Shared room,18
90016,Entire home/apt,78
90016,Private room,67
90016,Shared room,3
90017,Entire home/apt,251
90017,Private room,34
90017,Shared room,6
90018,Entire home/apt,83
90018,Private room,67
90018,Shared room,64
90019,Entire home/apt,258
90019,Private room,194
90019,Shared room,60
90020,Entire home/apt,95
90020,Private room,49
90020,Shared room,31
90021,Entire home/apt,44
90021,Private room,11
90021,Shared room,1
90022,Entire home/apt,6
90022,Private room,1
90023,Entire home/apt,12
90023,Private room,3
90024,Entire home/apt,300
90024,Private room,103
90024,Shared room,37
90025,Entire home/apt,304
90025,Private room,194
90025,Shared room,28
90026,Entire home/apt,682
90026,Private room,286
90026,Shared room,12
90027,Entire home/apt,427
90027,Private room,123
90027,Shared room,21
90028,Entire home/apt,773
90028,Private room,266
90028,Shared room,55
90029,Entire home/apt,242
90029,Private room,108
90029,Shared room,22
90031,Entire home/apt,54
90031,Private room,45
90031,Shared room,4
90032,Entire home/apt,46
90032,Private room,26
90032,Shared room,2
90033,Entire home/apt,18
90033,Private room,20
90033,Shared room,31
90034,Entire home/apt,197
90034,Private room,214
90034,Shared room,21
90034-2203,Entire home/apt,1
90035,Entire home/apt,193
90035,Private room,109
90035,Shared room,30
90035-4475,Private room,1
90036,Entire home/apt,528
90036,Private room,285
90036,Shared room,26
90036-2514,Private room,1
90037,Entire home/apt,10
90037,Private room,44
90037,Shared room,23
90038,Entire home/apt,341
90038,Private room,180
90038,Shared room,31
90039,Entire home/apt,249
90039,Private room,94
90039,Shared room,3
90039-2715,Private room,1
9004,Entire home/apt,1
90040,Private room,3
90041,Entire home/apt,87
90041,Private room,38
90041,Shared room,1
90042,Entire home/apt,200
90042,Private room,100
90042,Shared room,7
90043,Entire home/apt,40
90043,Private room,55
90043,Shared room,8
90044,Entire home/apt,6
90044,Private room,8
90044,Shared room,1
90045,Entire home/apt,101
90045,Private room,85
90045,Shared room,4
90046,Entire home/apt,914
90046,Private room,394
90046,Shared room,59
90047,Entire home/apt,12
90047,Private room,14
90047,Shared room,3
90048,Entire home/apt,340
90048,Private room,129
90048,Shared room,41
90049,Entire home/apt,134
90049,Private room,88
90049,Shared room,6
90056,Entire home/apt,16
90056,Private room,22
90056,Shared room,1
90057,Entire home/apt,73
90057,Private room,32
90057,Shared room,18
90058,Entire home/apt,2
90058,Private room,2
90059,Entire home/apt,3
90059,Private room,4
90059,Shared room,1
90061,Entire home/apt,4
90061,Private room,4
90061,Shared room,4
90062,Entire home/apt,9
90062,Private room,12
90062,Shared room,1
90063,Entire home/apt,22
90063,Private room,10
90064,Entire home/apt,109
90064,Private room,95
90064,Shared room,11
90065,Entire home/apt,154
90065,Private room,85
90066,Entire home/apt,398
90066,Private room,245
90066,Shared room,47
90067,Entire home/apt,3
90067,Private room,5
90067,Shared room,1
90068,Entire home/apt,514
90068,Private room,188
90068,Shared room,16
90069,Entire home/apt,355
90069,Private room,147
90069,Shared room,16
90071,Entire home/apt,1
90071,Private room,1
90077,Entire home/apt,53
90077,Private room,18
90077,Shared room,1
90094,Entire home/apt,58
90094,Private room,9
90094,Shared room,1
90095,Entire home/apt,2
90201,Entire home/apt,1
90201,Private room,2
90210,Entire home/apt,168
90210,Private room,51
90210,Shared room,3
90211,Entire home/apt,61
90211,Private room,35
90211,Shared room,3
90212,Entire home/apt,106
90212,Private room,52
90212,Shared room,2
90220,Entire home/apt,1
90220,Private room,10
90221,Private room,3
90222,Entire home/apt,1
90222,Private room,1
90230,Entire home/apt,57
90230,Private room,76
90230,Shared room,3
90232,Entire home/apt,82
90232,Private room,37
90232,Shared room,1
90240,Entire home/apt,1
90240,Private room,3
90241,Entire home/apt,2
90241,Private room,9
90242,Entire home/apt,1
90242,Private room,7
90245,Entire home/apt,36
90245,Private room,36
90245,Shared room,17
90247,Entire home/apt,14
90247,Private room,44
90247,Shared room,4
90248,Entire home/apt,4
90248,Private room,6
90249,Entire home/apt,11
90249,Private room,13
90249,Shared room,2
90250,Entire home/apt,32
90250,Private room,53
90250,Shared room,3
90254,Entire home/apt,104
90254,Private room,25
90254,Shared room,4
90255,Private room,3
90255,Shared room,1
90260,Entire home/apt,18
90260,Private room,18
90262,Entire home/apt,9
90262,Private room,12
90265,Entire home/apt,357
90265,Private room,68
90265,Shared room,1
90266,Entire home/apt,146
90266,Private room,41
90266,Shared room,1
90272,Entire home/apt,120
90272,Private room,32
90272,Shared room,1
90274,Entire home/apt,11
90274,Private room,4
90275,Entire home/apt,27
90275,Private room,19
90277,Entire home/apt,107
90277,Private room,74
90277,Shared room,3
90278,Entire home/apt,54
90278,Private room,65
90278,Shared room,6
90280,Entire home/apt,5
90280,Private room,11
90290,Entire home/apt,148
90290,Private room,37
90291,Entire home/apt,1327
90291,Private room,361
90291,Shared room,45
90292,Entire home/apt,394
90292,Private room,126
90292,Shared room,10
90293,Entire home/apt,72
90293,Private room,56
90293,Shared room,1
90301,Entire home/apt,9
90301,Private room,28
90301,Shared room,3
90302,Entire home/apt,12
90302,Private room,60
90302,Shared room,2
90303,Entire home/apt,9
90303,Private room,24
90303,Shared room,1
90304,Entire home/apt,4
90304,Private room,5
90305,Entire home/apt,5
90305,Private room,18
90401,Entire home/apt,114
90401,Private room,49
90401,Shared room,8
90402,Entire home/apt,68
90402,Private room,19
90402,Shared room,3
90403,Entire home/apt,105
90403,Private room,88
90403,Shared room,8
90403-2638,Private room,1
90404,Entire home/apt,99
90404,Private room,103
90404,Shared room,8
90405,Entire home/apt,161
90405,Private room,134
90405,Shared room,4
90501,Entire home/apt,17
90501,Private room,24
90502,Entire home/apt,6
90502,Private room,13
90503,Entire home/apt,6
90503,Private room,22
90503,Shared room,1
90504,Entire home/apt,6
90504,Private room,19
90504,Shared room,5
90505,Entire home/apt,15
90505,Private room,26
90505,Shared room,1
90601,Entire home/apt,12
90601,Private room,15
90601,Shared room,2
90602,Entire home/apt,12
90602,Private room,7
90603,Entire home/apt,5
90603,Private room,2
90604,Entire home/apt,3
90604,Private room,8
90605,Entire home/apt,2
90605,Private room,3
90605,Shared room,2
90606,Entire home/apt,3
90621,Private room,1
90625,Entire home/apt,1
90630,Private room,1
90631,Entire home/apt,11
90631,Private room,6
90631,Shared room,1
90638,Entire home/apt,4
90638,Private room,10
90638,Shared room,3
90640,Entire home/apt,7
90640,Private room,10
90650,Entire home/apt,2
90650,Private room,23
90650,Shared room,3
90660,Entire home/apt,4
90660,Private room,22
90660,Shared room,3
90670,Private room,2
90701,Private room,2
90703,Entire home/apt,7
90703,Private room,19
90704,Entire home/apt,16
90704,Private room,1
90706,Entire home/apt,1
90706,Private room,13
90706,Shared room,4
90710,Entire home/apt,5
90710,Private room,7
90712,Entire home/apt,3
90712,Private room,19
90712,Shared room,4
90713,Entire home/apt,2
90713,Private room,18
90713,Shared room,10
90715,Entire home/apt,1
90715,Private room,7
90716,Entire home/apt,1
90716,Private room,2
90716,Shared room,3
90717,Entire home/apt,12
90717,Private room,15
90717,Shared room,1
90723,Entire home/apt,1
90723,Private room,8
90731,Entire home/apt,46
90731,Private room,18
90731,Shared room,1
90732,Entire home/apt,9
90732,Private room,17
90744,Entire home/apt,6
90744,Private room,4
90744,Shared room,2
90745,Entire home/apt,5
90745,Private room,19
90746,Entire home/apt,4
90746,Private room,16
90755,Entire home/apt,8
90755,Private room,7
90802,Entire home/apt,207
90802,Private room,93
90802,Shared room,12
90803,Entire home/apt,141
90803,Private room,78
90803,Shared room,5
90804,Entire home/apt,41
90804,Private room,41
90804,Shared room,13
90805,Entire home/apt,12
90805,Private room,16
90805,Shared room,1
90806,Entire home/apt,24
90806,Private room,25
90806,Shared room,4
90807,Entire home/apt,24
90807,Private room,33
90807,Shared room,10
90808,Entire home/apt,17
90808,Private room,29
90808,Shared room,2
90810,Entire home/apt,11
90810,Private room,14
90810,Shared room,1
90813,Entire home/apt,33
90813,Private room,26
90813,Shared room,3
90814,Entire home/apt,49
90814,Private room,26
90814,Shared room,4
90815,Entire home/apt,22
90815,Private room,44
90815,Shared room,18
90840,Shared room,1
90929,Entire home/apt,1
91001,Entire home/apt,94
91001,Private room,66
91001,Shared room,3
91001-2243,Entire home/apt,1
91006,Entire home/apt,37
91006,Private room,87
91006,Shared room,1
91007,Entire home/apt,54
91007,Private room,62
91007,Shared room,2
91008,Entire home/apt,1
91008,Private room,6
91010,Entire home/apt,3
91010,Private room,13
91010,Shared room,1
91011,Entire home/apt,11
91011,Private room,18
91016,Entire home/apt,23
91016,Private room,41
91016,Shared room,1
91020,Entire home/apt,8
91020,Private room,3
91020,Shared room,1
91024,Entire home/apt,7
91024,Private room,6
91030,Entire home/apt,49
91030,Private room,14
91040,Entire home/apt,11
91040,Private room,20
91042,Entire home/apt,13
91042,Private room,8
91042,Shared room,1
91101,Entire home/apt,58
91101,Private room,27
91101,Shared room,3
91103,Entire home/apt,38
91103,Private room,28
91103,Shared room,1
91104,Entire home/apt,73
91104,Private room,45
91104,Shared room,2
91105,Entire home/apt,43
91105,Private room,32
91105,Shared room,2
91106,Entire home/apt,60
91106,Private room,46
91106,Shared room,5
91107,Entire home/apt,56
91107,Private room,51
91107,Shared room,1
91108,Entire home/apt,3
91108,Private room,5
91108,Shared room,1
91201,Entire home/apt,40
91201,Private room,13
91202,Entire home/apt,22
91202,Private room,17
91203,Entire home/apt,20
91203,Private room,11
91203,Shared room,1
91204,Entire home/apt,28
91204,Private room,9
91204,Shared room,1
91205,Entire home/apt,25
91205,Private room,16
91205,Shared room,1
91206,Entire home/apt,22
91206,Private room,28
91206,Shared room,2
91207,Entire home/apt,10
91207,Private room,5
91208,Entire home/apt,11
91208,Private room,4
91210,Entire home/apt,12
91214,Entire home/apt,4
91214,Private room,22
91214,Shared room,1
91301,Entire home/apt,25
91301,Private room,33
91301,Shared room,1
91302,Entire home/apt,29
91302,Private room,29
91302,Shared room,1
91303,Entire home/apt,14
91303,Private room,26
91303,Shared room,2
91304,Entire home/apt,14
91304,Private room,32
91304,Shared room,6
91306,Entire home/apt,8
91306,Private room,31
91307,Entire home/apt,16
91307,Private room,19
91307,Shared room,2
91308,Private room,1
91311,Entire home/apt,5
91311,Private room,16
91316,Entire home/apt,43
91316,Private room,43
91316,Shared room,1
91321,Entire home/apt,4
91321,Private room,13
91321,Shared room,1
91324,Entire home/apt,12
91324,Private room,14
91324,Shared room,6
91325,Entire home/apt,22
91325,Private room,23
91326,Entire home/apt,10
91326,Private room,7
91331,Entire home/apt,5
91331,Private room,10
91331,Shared room,1
91335,Entire home/apt,50
91335,Private room,48
91335,Shared room,11
91340,Entire home/apt,4
91340,Private room,7
91340,Shared room,1
91342,Entire home/apt,9
91342,Private room,11
91342,Shared room,1
91343,Entire home/apt,5
91343,Private room,27
91344,Entire home/apt,7
91344,Private room,24
91344,Shared room,1
91345,Entire home/apt,1
91345,Private room,1
91350,Entire home/apt,1
91350,Private room,7
91351,Private room,6
91352,Entire home/apt,10
91352,Private room,6
91354,Entire home/apt,3
91354,Private room,16
91355,Entire home/apt,3
91355,Private room,18
91355,Shared room,1
91356,Entire home/apt,47
91356,Private room,29
91356,Shared room,4
91361,Private room,7
91362,Entire home/apt,1
91362,Private room,5
91364,Entire home/apt,81
91364,Private room,66
91364,Shared room,3
91367,Entire home/apt,48
91367,Private room,88
91367,Shared room,4
91377,Private room,1
91381,Entire home/apt,5
91381,Private room,13
91381,Shared room,2
91384,Entire home/apt,10
91384,Private room,5
91387,Entire home/apt,6
91387,Private room,12
91387,Shared room,1
91390,Entire home/apt,11
91390,Private room,11
91401,Entire home/apt,78
91401,Private room,55
91401,Shared room,4
91402,Entire home/apt,5
91402,Private room,8
91402,Shared room,5
91403,Entire home/apt,90
91403,Private room,55
91403,Shared room,3
91405,Entire home/apt,29
91405,Private room,49
91405,Shared room,24
91406,Entire home/apt,35
91406,Private room,45
91406,Shared room,6
91411,Entire home/apt,48
91411,Private room,25
91411,Shared room,3
91423,Entire home/apt,118
91423,Private room,68
91423,Shared room,8
91436,Entire home/apt,29
91436,Private room,26
91501,Entire home/apt,22
91501,Private room,25
91502,Entire home/apt,13
91502,Private room,13
91502,Shared room,1
91504,Entire home/apt,15
91504,Private room,10
91504,Shared room,1
91505,Entire home/apt,62
91505,Private room,54
91505,Shared room,1
91506,Entire home/apt,28
91506,Private room,20
91506,Shared room,4
91523,Entire home/apt,1
91601,Entire home/apt,149
91601,Private room,155
91601,Shared room,23
91602,Entire home/apt,57
91602,Private room,84
91602,Shared room,3
91604,Entire home/apt,163
91604,Private room,95
91604,Shared room,5
91604-3646,Private room,1
91605,Entire home/apt,38
91605,Private room,54
91605,Shared room,21
91606,Entire home/apt,74
91606,Private room,82
91606,Shared room,10
91606-1412,Private room,1
91607,Entire home/apt,69
91607,Private room,60
91607,Shared room,11
91702,Entire home/apt,9
91702,Private room,37
91706,Private room,9
91708,Private room,1
91711,Entire home/apt,15
91711,Private room,20
91722,Private room,3
91723,Private room,8
91724,Entire home/apt,2
91724,Private room,13
91731,Entire home/apt,3
91731,Private room,7
91732,Entire home/apt,7
91732,Private room,25
91733,Entire home/apt,2
91733,Private room,11
91733,Shared room,2
91740,Entire home/apt,2
91740,Shared room,1
91741,Entire home/apt,10
91741,Private room,11
91741,Shared room,1
91744,Entire home/apt,4
91744,Private room,10
91745,Entire home/apt,31
91745,Private room,61
91745,Shared room,2
91746,Private room,18
91748,Entire home/apt,126
91748,Private room,228
91748,Shared room,8
91750,Entire home/apt,4
91750,Private room,25
91754,Entire home/apt,30
91754,Private room,45
91754,Shared room,5
91755,Entire home/apt,8
91755,Private room,43
91755,Shared room,1
91764,Entire home/apt,1
91765,Entire home/apt,26
91765,Private room,42
91765,Shared room,1
91766,Entire home/apt,5
91766,Private room,27
91766,Shared room,9
91767,Entire home/apt,4
91767,Private room,17
91767,Shared room,2
91768,Entire home/apt,11
91768,Private room,18
91768,Shared room,1
91770,Entire home/apt,14
91770,Private room,42
91770,Shared room,1
91773,Entire home/apt,6
91773,Private room,11
91773,Shared room,1
91775,Entire home/apt,16
91775,Private room,19
91775,Shared room,2
91776,Entire home/apt,18
91776,Private room,81
91776,Shared room,12
91780,Entire home/apt,27
91780,Private room,58
91780,Shared room,6
91786,Private room,2
91789,Entire home/apt,19
91789,Private room,101
91789,Shared room,9
91790,Entire home/apt,1
91790,Private room,17
91791,Entire home/apt,10
91791,Private room,25
91792,Entire home/apt,7
91792,Private room,10
91801,Entire home/apt,35
91801,Private room,64
91801,Shared room,5
91802,Entire home/apt,1
91803,Entire home/apt,17
91803,Private room,26
92397,Private room,1
92614,Entire home/apt,1
92629,Entire home/apt,1
92683,Entire home/apt,2
92821,Private room,1
92880,Private room,1
93105,Entire home/apt,1
93510,Entire home/apt,2
93510,Private room,1
93532,Entire home/apt,3
93534,Private room,6
93534,Shared room,1
93535,Entire home/apt,3
93535,Private room,7
93536,Entire home/apt,5
93536,Private room,9
93543,Entire home/apt,2
93543,Private room,4
93543,Shared room,1
93550,Entire home/apt,4
93550,Private room,10
93550,Shared room,2
93551,Entire home/apt,2
93551,Private room,15
93551,Shared room,1
93552,Private room,3
93563,Entire home/apt,2
93591,Entire home/apt,1
999041,Entire home/apt,1
Near 91304,Private room,1
